day,poms_tot,poms_tot_w,poms_tot_g,poms_tot_h,poms_tot_m,inters_tot,inters_tot_p,inters_tot_m,inters_tot_s,inters_tot_o
20160409,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20160410,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20160411,10,8,1,1,0,6,6,0,0,0
20160412,12,9,2,1,0,4,3,1,0,0
20160413,8,6,1,1,0,5,3,2,0,0
20160414,10,6,2,2,0,3,1,0,2,0
20160415,8,7,0,1,0,5,2,2,1,0
20160416,4,0,4,0,0,NA,NA,NA,NA,NA
20160417,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20160418,17,9,6,2,0,4,3,0,1,0
20160419,12,6,4,2,0,7,5,0,2,0
20160420,12,8,2,2,0,4,4,0,0,0
20160421,14,10,2,2,0,3,2,1,0,0
20160422,13,6,5,2,0,4,1,3,0,0
20160423,9,0,3,2,4,NA,NA,NA,NA,NA
20160424,6,0,1,0,5,NA,NA,NA,NA,NA
20160425,16,10,3,3,0,2,2,0,0,0
20160426,9,6,0,0,3,4,0,1,3,0
20160427,10,8,1,1,0,1,0,0,0,1
20160428,15,4,8,0,3,2,2,0,0,0
20160429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20160430,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20160501,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20160502,19,7,7,2,3,2,1,0,1,0
20160503,20,10,5,3,2,2,0,0,2,0
20160504,12,8,3,1,0,3,2,0,1,0
20160505,18,11,3,2,2,4,2,1,0,1
20160506,7,7,0,0,0,6,0,4,2,0
20160507,7,0,5,0,2,NA,NA,NA,NA,NA
20160508,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20160509,11,8,2,1,0,10,8,0,1,1
20160510,12,7,3,0,2,6,6,0,0,0
20160511,10,6,1,2,1,7,3,2,2,0
20160512,14,9,3,2,0,4,3,0,0,1
20160513,13,9,3,1,0,4,2,1,1,0
20160514,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20160515,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20160516,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20160517,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20160518,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20160519,14,8,4,2,0,5,3,1,1,0
20160520,14,6,6,1,1,4,1,2,1,0
20160521,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20160522,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20160523,13,11,1,1,0,10,6,2,2,0
20160524,6,5,0,1,0,4,2,0,2,0
20160525,16,9,4,1,2,4,3,1,0,0
20160526,10,8,1,1,0,6,2,2,1,1
20160527,10,8,1,1,0,6,4,1,1,0
20160528,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20160529,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20160530,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20160531,10,8,1,1,0,2,2,0,0,0
20160601,12,7,2,2,1,5,3,1,1,0
20160602,12,10,1,1,0,10,5,2,3,0
20160603,13,9,2,2,0,7,2,4,1,0
20160604,8,0,7,1,0,NA,NA,NA,NA,NA
20160605,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20160606,11,7,1,3,0,7,3,3,1,0
20160607,13,9,1,3,0,4,1,1,2,0
20160608,14,7,6,1,0,2,0,0,1,1
20160609,13,6,4,1,2,NA,NA,NA,NA,NA
20160610,11,9,1,1,0,3,2,0,1,0
20160611,1,0,1,0,0,NA,NA,NA,NA,NA
20160612,4,0,2,0,2,NA,NA,NA,NA,NA
20160613,15,8,6,0,1,4,2,2,0,0
20160614,11,10,0,1,0,6,2,3,1,0
20160615,15,9,5,0,1,5,2,3,0,0
20160616,14,8,5,1,0,4,0,3,1,0
20160617,8,8,0,0,0,5,3,0,0,2
20160618,4,3,0,0,1,NA,NA,NA,NA,NA
20160619,5,0,1,2,2,NA,NA,NA,NA,NA
20160620,8,8,0,0,0,10,8,1,1,0
20160621,16,7,5,1,3,3,2,0,1,0
20160622,11,10,1,0,0,4,3,0,1,0
